date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:23:51	50120/50120	---M--	200	added ('OK')	image/png	etag:%225d70bac5-c3c8%22	http://ecaidev.stagingrelease.com/storage/img/company_logo/124pic-3.png	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/storage/img/company_logo/124pic-3.png	(from http://ecaidev.stagingrelease.com/ecai)
12:23:53	112496/112496	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:53:52%20GMT	http://ecaidev.stagingrelease.com/ecai/site/innovation01b4	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/site/innovation01b4.html	(from http://ecaidev.stagingrelease.com/ecai)
12:23:56	111715/111715	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:53:55%20GMT	http://ecaidev.stagingrelease.com/ecai/site/logisticsd090	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/site/logisticsd090.html	(from http://ecaidev.stagingrelease.com/ecai)
12:24:06	213670/213670	---M--	200	added ('OK')	image/png	etag:%225cd92fda-342a6%22	http://ecaidev.stagingrelease.com/img/frontend/quality.png	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/img/frontend/quality.png	(from http://ecaidev.stagingrelease.com/ecai)
12:24:09	111769/111769	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:54:07%20GMT	http://ecaidev.stagingrelease.com/ecai/site/marketing6551	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/site/marketing6551.html	(from http://ecaidev.stagingrelease.com/ecai)
12:24:33	245995/245995	---M--	200	added ('OK')	image/jpeg	etag:%225d8c43df-3c0eb%22	http://ecaidev.stagingrelease.com/storage/img/company_logo/208.jpg	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/storage/img/company_logo/208.jpg	(from http://ecaidev.stagingrelease.com/ecai)
12:24:36	331488/331488	---M--	200	added ('OK')	image/jpeg	etag:%225d1dabcf-50ee0%22	http://ecaidev.stagingrelease.com/storage/img/company_logo/16Basant-Panchami.jpg	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/storage/img/company_logo/16Basant-Panchami.jpg	(from http://ecaidev.stagingrelease.com/ecai)
12:24:36	111665/111665	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:54:34%20GMT	http://ecaidev.stagingrelease.com/ecai/site/paymentsada1	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/site/paymentsada1.html	(from http://ecaidev.stagingrelease.com/ecai)
12:24:38	104973/104973	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:54:38%20GMT	http://ecaidev.stagingrelease.com/ecai/resolution	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/resolution.html	(from http://ecaidev.stagingrelease.com/ecai)
12:24:56	93868/93868	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.7.1/jquery.min.js	C:/My%20Web%20Sites/ProjectEaci/ajax.googleapis.com/ajax/libs/jquery/1.7.1/jquery.min.js	(from http://ecaidev.stagingrelease.com/ecai)
12:24:56	1500/1500	---MC-	302	error ('Found')	text/html	date:Tue,%2022%20Oct%202019%2006:54:57%20GMT	http://ecaidev.stagingrelease.com/ecai/google	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/google.52.delayed	(from http://ecaidev.stagingrelease.com/ecai)
12:24:57	1224/1224	---MC-	302	error ('Found')	text/html	date:Tue,%2022%20Oct%202019%2006:54:58%20GMT	http://ecaidev.stagingrelease.com/ecai/facebook	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/facebook	(from http://ecaidev.stagingrelease.com/ecai)
12:24:58	572/572	---MC-	302	error ('Found')	text/html	date:Tue,%2022%20Oct%202019%2006:54:59%20GMT	http://ecaidev.stagingrelease.com/ecai/twitter	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/twitter	(from http://ecaidev.stagingrelease.com/ecai)
12:24:58	1328/1328	---MC-	302	error ('Found')	text/html	date:Tue,%2022%20Oct%202019%2006:54:59%20GMT	http://ecaidev.stagingrelease.com/ecai/linkedin	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/linkedin	(from http://ecaidev.stagingrelease.com/ecai)
12:24:59	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%223ea9434bd7c54419cb1a448dd8db2ded%22	https://connect.facebook.net/en_US/sdk.js	C:/My%20Web%20Sites/ProjectEaci/connect.facebook.net/en_US/sdk.js	(from http://ecaidev.stagingrelease.com/ecai)
